Registration Option,MIST ID,Category I: Knowledge and Quran,Category II: Arts,Category III: Writing and Oratory,Category IV: Brackets,Category V: Group Projects,Category VI: Sports,Category VII: eSports
Competitor,Y0J9Q-KVFCH,Knowledge Test 3,2D Art,Poetry,Debate,Nasheed/Rap - Female,**Soccer [DC]** - Female,
Competitor,51M64-M6BDT,Knowledge Test 4,,,,Social Media,Basketball - Female,
Competitor,EXIMZ-LOP9V,,,,,Social Media,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,Y0J9Q-F3OA7,Quran Recitation - Male,,,,,Basketball - Male,
Competitor,Y0J9Q-BKI61,Knowledge Test 4,Digital Art,,,,,**Chess[DC]**
Competitor,Y0J9Q-FMGNE,Knowledge Test 1,,,,Short Film,,
Competitor,Y0J9Q-VRDIQ,,,Original Oratory,,,Basketball - Male,
Competitor,Y0J9Q-IU8LU,Quran Memorization - Level 1 - Female,**Scrapbook - DC**,,Improv - Female,Business Venture,**Soccer [DC]** - Female,
Competitor,Y0J9Q-MSTYU,,,Extemporaneous Essay,,Social Media,,
Competitor,Y0J9Q-KG0D3,,Fashion Design,,Math Olympics,,,
Competitor,Y0J9Q-3BF6C,Quran Memorization - Level 2 - Female,2D Art,,,Short Film,,
Competitor,Y0J9Q-MNXOI,,**Culinary Arts [2 max]**,,,Business Venture,**Soccer [DC]** - Female,
Competitor,A85Q9-Q92DZ,Knowledge Test 1,,,,,Basketball - Female,
Competitor,Y0J9Q-0XAIV,,,,MIST Quiz Bowl,Business Venture,,
Competitor,R9926-EY6B6,Quran Memorization - Level 1 - Male,2D Art,,Math Olympics,,**Soccer [DC]** - Male,**Chess[DC]**
Competitor,Y0J9Q-2I4ZM,Quran Recitation - Female,**Scrapbook - DC**,,,Nasheed/Rap - Female,**Soccer [DC]** - Female,
Competitor,Y0J9Q-G1ISR,,Photography,Prepared Essay,,,,
Competitor,HIEQ8-S9HSF,,,Poetry,,,Basketball - Female,
Competitor,EXIMZ-E5UIL,,Digital Art,,,,**Soccer [DC]** - Male,
Competitor,Y0J9Q-2NBUJ,,,,,Short Film,,
Competitor,Y0J9Q-UA2GY,Knowledge Test 2,Digital Art,,MIST Quiz Bowl,,,
Competitor,Y0J9Q-PVIWZ,,2D Art,,MIST Quiz Bowl,Short Film,,
Competitor,JW7VO-2RUJ7,,Fashion Design,Short Fiction,MIST Quiz Bowl,Short Film,Basketball - Female,
Competitor,EXIMZ-GVM4W,,Photography,Extemporaneous Essay,,,Basketball - Female,
Competitor,Y0J9Q-NI7CL,Knowledge Test 2,,,,Science Fair,Basketball - Female,
Competitor,R9926-WLLB2,Knowledge Test 1,,,,,**Soccer [DC]** - Male,
Competitor,Y0J9Q-51IVB,Knowledge Test 3,2D Art,,,,,
Competitor,Y0J9Q-JP6Y3,Quran Recitation - Male,,,Improv - Male,,Basketball - Male,**NBA 2K (DC) **
Competitor,Y0J9Q-HWF19,Quran Recitation - Female,,,,Business Venture,**Soccer [DC]** - Female,
Competitor,Y0J9Q-Z8FPQ,Knowledge Test 3,,,Improv - Female,,**Soccer [DC]** - Female,
Competitor,R9926-FXR5K,,,,Improv - Male,,**Soccer [DC]** - Male,
Competitor,Y0J9Q-ZGOD9,Quran Memorization - Level 1 - Female,,,Improv - Female,,**Soccer [DC]** - Female,
Competitor,1NO4P-6C1MQ,Quran Memorization - Level 1 - Male,,,Improv - Male,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,JW7VO-GHOH0,,,,MIST Quiz Bowl,Humanitarian Service,**Soccer [DC]** - Male,
Competitor,HIEQ8-LUBTT,,,,Improv - Male,Business Venture,**Soccer [DC]** - Male,
Competitor,Y0J9Q-72O0Z,,**Culinary Arts [2 max]**,Spoken Word,Improv - Female,Business Venture,,
Competitor,Y0J9Q-CZJ1N,,,,,Social Media,,
Competitor,Y0J9Q-Q3YF3,,,Extemporaneous Essay,,Science Fair,,
Competitor,R9926-1NRTY,Knowledge Test 1,,,,,**Soccer [DC]** - Male,
Competitor,EXIMZ-PV23T,,,,,Short Film,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,616EC-6OEU4,,,,Improv - Female,,Basketball - Female,
Competitor,Y0J9Q-6B895,,,,MIST Quiz Bowl,,Basketball - Female,
Competitor,Y0J9Q-Z618G,Knowledge Test 2,,,Improv - Male,,,
Competitor,Y0J9Q-7JECC,Knowledge Test 4,,,,Social Media,,
Competitor,Y0J9Q-612HM,Knowledge Test 1,,,Improv - Male,,,**NBA 2K (DC) **
Competitor,Y0J9Q-NIJ7J,,,,Improv - Male,Nasheed/Rap - Male,,
Competitor,UVHWU-FDD6X,,3D Art,,,Business Venture,**Soccer [DC]** - Male,
Competitor,Y0J9Q-XJHEK,,Fashion Design,,,,Basketball - Male,
Competitor,Y0J9Q-YL93B,Quran Memorization - Level 3 - Male,Digital Art,Original Oratory,,,Basketball - Male,**Super Smash Bros - Singles (DC)**
Competitor,Y0J9Q-H4LKA,,,Short Fiction,MIST Quiz Bowl,,,
Competitor,Y0J9Q-63OFF,,,,,Science Fair,,
Competitor,UVHWU-XZP05,,2D Art,Poetry,,,,
Competitor,UVHWU-1USDJ,,,,Improv - Female,,,
Competitor,616EC-MGJIT,,,,,Short Film,Basketball - Female,
Competitor,UVHWU-L0HMK,,**Culinary Arts [2 max]**,,Improv - Female,Short Film,,
Competitor,UVHWU-ZNTP8,Knowledge Test 1,,,Improv - Female,Short Film,,
Competitor,UVHWU-J8GH6,,,,Improv - Female,Short Film,,
Competitor,UVHWU-KD4GL,Quran Memorization - Level 1 - Male,,,,,,
Competitor,UVHWU-WLDQ5,Knowledge Test 2,,,,,Basketball - Male,
Competitor,UVHWU-0UHNV,,,,Improv - Female,Short Film,,
Competitor,UVHWU-NXYF6,,,,MIST Quiz Bowl,,,
Competitor,UVHWU-ICLSL,,,,MIST Quiz Bowl,,,
Competitor,UVHWU-8NQF6,,Photography,,,,,
Competitor,UVHWU-Z7R97,,2D Art,,,,,
Competitor,UVHWU-4WPAN,,,Spoken Word,,Short Film,,
Competitor,Y0J9Q-VTN7K,Quran Memorization - Level 1 - Male,,Extemporaneous Speaking,,,**Soccer [DC]** - Male,
Competitor,UVHWU-AKM7O,,,,,,,
Competitor,UVHWU-M59Z5,,,,MIST Quiz Bowl,,,
Competitor,UVHWU-1MO4F,Quran Recitation - Male,,,,,**Soccer [DC]** - Male,
Competitor,Y0J9Q-9CD42,Quran Memorization - Level 1 - Male,,Extemporaneous Speaking,,,**Soccer [DC]** - Male,
Competitor,Y0J9Q-R2A66,,Photography,,,,**Soccer [DC]** - Male,
Competitor,1NO4P-9TBZN,,,,Improv - Male,,**Soccer [DC]** - Male,
Competitor,VJ2GK-S3YP6,,,,Improv - Male,Short Film,**Soccer [DC]** - Male,
Competitor,JW7VO-A4MI9,,,,Improv - Male,Humanitarian Service,**Soccer [DC]** - Male,**Super Smash Bros - Singles (DC)**
Competitor,UVHWU-0H0A5,,,,MIST Quiz Bowl,,,
Competitor,UVHWU-3P6KO,,,,MIST Quiz Bowl,,,
Competitor,UVHWU-NEG05,,Fashion Design,Poetry,,,,
